"GIUDIZIO","GENERE","NAZIONE","ANNO","DURATA","VISIBILITÀ"
2,"DRA","USA",91,87,"GEN"
2,"HOR","USA",91,88,"ADU"
1,"THR","USA",92,88,"ADU"
3,"DRA","USA",49,88,"GEN"
2,"COM","USA",92,88,"TUT"
1,"THR","USA",94,88,"ADU"
3,"DRA","FRA",71,88,"ADU"
3,"COM","ITA",91,88,"GEN"
1,"THR","USA",93,88,"ADU"
3,"COM","USA",75,88,"GEN"
1,"AZI","USA",88,88,"ADU"
2,"WES","USA",49,88,"GEN"
1,"COM","ITA",79,88,"GEN"
2,"AVV","USA",88,88,"GEN"
1,"AZI","USA",88,88,"ADU"
1,"DRA","USA",94,88,"ADU"
2,"COM","USA",92,88,"GEN"
1,"CMC","USA",93,88,"ADU"
2,"FAN","USA",71,88,"GEN"
3,"DRA","USA",49,88,"GEN"
1,"CMC","ITA",74,88,"GEN"
3,"CMC","GB",72,89,"GEN"
2,"COM","ITA",91,89,"GEN"
2,"THR","GB",75,89,"ADU"
